ID        Porosity  Clayness  Carbonate Amplitude Cluster   
1         0,189     0,1       0,86      0,22      1         

2         0,141     0,078     0,123     0,12      1         

3         0,15      0,095     0,128     0,08      1         

4         0,126     0,401     0,085     0,04      2         

5         0,109     0,156     0,179     0,08      2         

6         0,095     0,278     0,124     0,05      2         

7         0,156     0,124     0,09      0,17      1         

8         0,178     0,167     0,075     0,05      1         

9         0,107     0,222     0,119     0,14      1         

10        0,115     0,174     0,182     0,07      1         

11        0,126     0,151     0,144     0,1       1         

12        0,088     0,189     0,25      0,03      2         

13        0,12      0,335     0,086     0,03      2         

14        0,09      0,147     0,197     0,07      2         

15        0,085     0,15      0,224     0,04      2         

